sample_name,accession,condition,replicate
FW_TWAS_rep_1,SRR19159478,FW+TWAS,1
FW_TWAS_rep_2,SRR19159477,FW+TWAS,2
FW_AS_rep_1,SRR19159476,FW+AS,1
FW_AS_rep_2,SRR19159475,FW+AS,2
FW_TWAS_AS_rep_1,SRR19159483,FW+TWAS+AS,1
FW_TWAS_AS_rep_2,SRR19159479,FW+TWAS+AS,2
