sample,group,potential
FW_TWAS_AS_rep_2,X_ch,0.23615439749381917
FW_TWAS_AS_rep_2,X_pr,0.239052114242373
FW_TWAS_AS_rep_2,X_li,0.1475750230189601
FW_TWAS_AS_rep_2,X_su,0.1752789180490855
FW_TWAS_AS_rep_2,X_aa,0.259493207057895
FW_TWAS_AS_rep_2,X_fa,0.2666553920739613
FW_TWAS_AS_rep_2,X_ac_et,0.24137211793223967
FW_TWAS_AS_rep_2,X_ac_lac,0.2376155645752297
FW_TWAS_AS_rep_2,X_chain_et,0.2319270447124328
FW_TWAS_AS_rep_2,X_chain_lac,0.22830848896297903
FW_TWAS_AS_rep_2,X_VFA_deg,0.27663387639288195
FW_TWAS_AS_rep_2,X_Me_ac,0.0742807749403386
FW_TWAS_AS_rep_2,X_Me_CO2,0.030071844210183458
FW_TWAS_AS_rep_2,X_et,0.20822481537854443
FW_TWAS_AS_rep_2,X_lac,0.20116339703478212
