sample,feature_id,abundance
FW_TWAS_AS_rep_2,ASV_ba4ace83ab5b1e9111e02978e29d8d4d0d227006,0.06933874513783189
FW_TWAS_AS_rep_2,ASV_99fa2e53f0f36f723e9c822e65b149eca071a9b6,0.05724674446135633
FW_TWAS_AS_rep_2,ASV_a1b290bc6493a44d9c20093f3bed98cd03b6fc53,0.03568408591239641
FW_TWAS_AS_rep_2,ASV_10ddce4c8dd94d5e047159e739cf71883544f000,0.02407125542589774
FW_TWAS_AS_rep_2,ASV_b5259cf9333b28d9b4a9cf69802009032231f59c,0.02345115282710412
FW_TWAS_AS_rep_2,ASV_fb4cee6bb46472ce766402b91fa2258ba003a4ec,0.02207001522070015
FW_TWAS_AS_rep_2,ASV_515e1ef7ddf9e303b5139961e91b3b1099512289,0.019279553526128868
FW_TWAS_AS_rep_2,ASV_fd680ce4a3e26b77c38dbe4bff95f3207564a1d9,0.015953548678054007
FW_TWAS_AS_rep_2,ASV_9e668dc359b5cc60b61dea06bf4d53ac967a3946,0.014797902925756806
FW_TWAS_AS_rep_2,ASV_f3dc7c1069913fa5864fe975fa8af5bd98f89099,0.013275832910536106
FW_TWAS_AS_rep_2,ASV_44c8484481a00fd6ca6d80da73d71fe29810d91b,0.01293759512937595
FW_TWAS_AS_rep_2,ASV_c890b4a363c22ce6aba6adab8546c51d768b41c3,0.012007441231185523
FW_TWAS_AS_rep_2,ASV_253093fb492f6012d4fb04c3f88b1264d4b93c54,0.011781949377078754
FW_TWAS_AS_rep_2,ASV_3df6d89481a9488de8f36f2ff4f634e0c5262fd3,0.011443711595918598
FW_TWAS_AS_rep_2,ASV_d697e52ad2744602560297755934f30180af1754,0.011105473814758442
FW_TWAS_AS_rep_2,ASV_ecf70fd3187c86a233f64f5c9dec5d1bb4acee36,0.0106544901065449
FW_TWAS_AS_rep_2,ASV_5693674871d0fd53ab726528df017427f96797fa,0.0106544901065449
FW_TWAS_AS_rep_2,ASV_13b5cc158e804e39782942ac82d4cfaca887cf9a,0.010372625288911438
FW_TWAS_AS_rep_2,ASV_f679ebb6e9c4d53999a91414d6dbad6b6a298818,0.0102880658436214
FW_TWAS_AS_rep_2,ASV_344aebdef297033af095ed72177ff5b105d85680,0.009414284908957665
FW_TWAS_AS_rep_2,ASV_00f4321b2c8c4ae5cc11f91f528f1fd3089a3ae0,0.008878741755454084
FW_TWAS_AS_rep_2,ASV_21e741955fe55b8bbb1271452b75a4ee1fa1f935,0.008737809346637353
FW_TWAS_AS_rep_2,ASV_9627f994d3f8162b004c61b4f43fee3ef122e05e,0.008512317492530582
FW_TWAS_AS_rep_2,ASV_92b9688ec26d77b9646923ff76f5d5000abdde9f,0.008145893229607081
FW_TWAS_AS_rep_2,ASV_ccb5e585a64a8020450afef314999aa1a8388bfb,0.008117706747843734
FW_TWAS_AS_rep_2,ASV_8f6a93e9cfed72146e1cd1e9e83950121b73a726,0.008004960820790349
FW_TWAS_AS_rep_2,ASV_f57d343105ff9cdb54f36f2de2df238c85b55824,0.00792040137550031
FW_TWAS_AS_rep_2,ASV_e165e94621ad4095c9ee6ef6dd62892b3979f99f,0.007723096003156886
