sample,group,value
FW_TWAS_rep_1,X_ch,0.07187136307742555
FW_TWAS_rep_1,X_pr,0.07998414724712907
FW_TWAS_rep_1,X_li,0.047422427980295265
FW_TWAS_rep_1,X_su,0.053558886501377814
FW_TWAS_rep_1,X_aa,0.08275288067252026
FW_TWAS_rep_1,X_fa,0.09307572548624167
FW_TWAS_rep_1,X_ac_et,0.07856703535944869
FW_TWAS_rep_1,X_ac_lac,0.08084609476504166
FW_TWAS_rep_1,X_chain_et,0.07725775710026725
FW_TWAS_rep_1,X_chain_lac,0.07995591629660075
FW_TWAS_rep_1,X_VFA_deg,0.09070031602859795
FW_TWAS_rep_1,X_Me_ac,0.02306800519580334
FW_TWAS_rep_1,X_Me_CO2,0.010475698060087123
FW_TWAS_rep_1,X_et,0.06136999500649836
FW_TWAS_rep_1,X_lac,0.0690937512226653
