sample,group,potential
FW_TWAS_rep_1,X_ch,0.1659312418173884
FW_TWAS_rep_1,X_pr,0.1846614327339731
FW_TWAS_rep_1,X_li,0.10948536423734019
FW_TWAS_rep_1,X_su,0.12365276192071518
FW_TWAS_rep_1,X_aa,0.19105367793240557
FW_TWAS_rep_1,X_fa,0.21488629200407314
FW_TWAS_rep_1,X_ac_et,0.1813897105173835
FW_TWAS_rep_1,X_ac_lac,0.18665143286621733
FW_TWAS_rep_1,X_chain_et,0.1783669465384056
FW_TWAS_rep_1,X_chain_lac,0.18459625522128553
FW_TWAS_rep_1,X_VFA_deg,0.209402123842312
FW_TWAS_rep_1,X_Me_ac,0.053257689634550416
FW_TWAS_rep_1,X_Me_CO2,0.024185510244764476
FW_TWAS_rep_1,X_et,0.14168646656645492
FW_TWAS_rep_1,X_lac,0.15951849876351648
