group,value
X_su,0.11510470383371572
X_aa,0.10800330144310434
X_fa,0.09209373485251905
X_chain_et,0.042414899187394904
X_pr,0.11314261547288153
X_ac_lac,0.015256239792553897
X_chain_lac,0.0011407975189076552
X_lac,0.03463472594015642
X_li,0.0865066113035025
X_Me_CO2,0.0013689570226891863
X_et,0.1278801127413262
X_VFA_deg,0.08980975185286877
X_Me_ac,0.000647479672893534
X_ch,0.10875518809570606
X_ac_et,0.06324088126978028
