sample,marker_id,marker_name,genomes_detected,gene_copies_detected,weighted_abundance,copy_cap_per_genome
FW_TWAS_AS_rep_1,cazy_GH5,GH5 cellulase/mannanase family,10,19,0.07033993978926241,1.0
FW_TWAS_AS_rep_1,cazy_GH9,GH9 endoglucanase family,9,13,0.08507902659307576,1.0
FW_TWAS_AS_rep_1,cazy_GH48,GH48 processive cellulase family,0,0,0.0,1.0
FW_TWAS_AS_rep_1,cazy_GH10,GH10 endoxylanase family,16,24,0.08225664826894129,1.0
FW_TWAS_AS_rep_1,cazy_GH11,GH11 endoxylanase family,0,0,0.0,1.0
FW_TWAS_AS_rep_1,cazy_GH13,GH13 alpha-amylase/pullulanase family,46,148,0.24413572503763176,1.0
FW_TWAS_AS_rep_1,cazy_GH43,GH43 xylan/arabinose debranching family,18,53,0.1593075765178124,1.0
FW_TWAS_AS_rep_1,cazy_PL1,PL1 pectate lyase family,6,7,0.05121048670346212,1.0
FW_TWAS_AS_rep_1,cazy_CE8,CE8 pectin methylesterase family,8,11,0.06626317109884595,1.0
FW_TWAS_AS_rep_1,cazy_CBM3,cellulose-binding module family 3,0,0,0.0,1.0
FW_TWAS_AS_rep_1,cazy_CBM6,xylan/cellulose-binding module family 6,4,8,0.03487205218263924,1.0
FW_TWAS_AS_rep_1,bgl,beta-glucosidase,24,37,0.06710988459608631,1.0
FW_TWAS_AS_rep_1,agl,alpha-glucosidase or maltodextrin glucosidase,42,101,0.22949071751128955,1.0
FW_TWAS_AS_rep_1,susC,SusC-like outer-membrane glycan transporter,37,213,0.22256021073758164,1.0
FW_TWAS_AS_rep_1,susD,SusD-like glycan-binding protein,16,90,0.16056196688409438,1.0
FW_TWAS_AS_rep_1,extracellular_protease,secreted or cell-surface endopeptidase,52,161,0.25573883592574015,1.0
FW_TWAS_AS_rep_1,pepN,aminopeptidase N,53,122,0.24827521324636234,1.0
FW_TWAS_AS_rep_1,pepO,endopeptidase O,26,33,0.08395007526342196,1.0
