sample,group,potential
FW_AS_rep_1,X_ch,0.5038675684765143
FW_AS_rep_1,X_pr,0.34388351207603096
FW_AS_rep_1,X_li,0.2236645159415235
FW_AS_rep_1,X_su,0.34467616262018563
FW_AS_rep_1,X_aa,0.44216147876885514
FW_AS_rep_1,X_fa,0.35963902694219196
FW_AS_rep_1,X_ac_et,0.3829714883599267
FW_AS_rep_1,X_ac_lac,0.35221848025111163
FW_AS_rep_1,X_chain_et,0.3374849929911399
FW_AS_rep_1,X_chain_lac,0.30558773339312173
FW_AS_rep_1,X_VFA_deg,0.48457332187387114
FW_AS_rep_1,X_Me_ac,0.1370118483641895
FW_AS_rep_1,X_Me_CO2,0.03695953342827526
FW_AS_rep_1,X_et,0.3932077774871392
FW_AS_rep_1,X_lac,0.3131212398639811
