sample,cod_group,panel_id,potential,selected,credible,matched_markers,missing_requirements,markers_detected,markers_in_panel,weighted_completeness,requirement_coverage,marker_coverage,marker_contributions
FW_TWAS_rep_2,X_ch,cellulose_utilization,0.02938354142061751,false,false,bgl;cazy_GH5;cazy_GH9,one_of(cazy_CBM3|cazy_GH48),3,5,0.625,0.6666666666666666,1.0,bgl:0.00828306900624;cazy_GH5:0.00932174793319;cazy_GH9:0.0117787244812
FW_TWAS_rep_2,X_ch,xylan_utilization,0.03711827231314324,false,true,cazy_CBM6;cazy_GH10;cazy_GH43;xylA;xylB,"",5,6,0.75,1.0,1.0,cazy_CBM6:0.000901594398515;cazy_GH10:0.00905812384005;cazy_GH43:0.0158121731061;xylA:0.00560464822001;xylB:0.00574173274844
FW_TWAS_rep_2,X_ch,starch_utilization,0.17890284171708165,true,true,agl;cazy_GH13;susC;susD,"",4,4,1.0,1.0,1.0,agl:0.0514112174311;cazy_GH13:0.0845826604642;susC:0.0270915182337;susD:0.015817445588
FW_TWAS_rep_2,X_ch,pectin_utilization,0.07521270698257368,false,true,cazy_CE8;cazy_GH43;cazy_PL1;susC;susD,"",5,5,1.0,1.0,1.0,cazy_CE8:0.0105690664996;cazy_GH43:0.0180710549784;cazy_PL1:0.00366362168286;susC:0.0270915182337;susD:0.015817445588
FW_TWAS_rep_2,X_pr,proteolysis_and_peptide_import,0.21277052625120788,true,true,dtpT;endopeptidase;extracellular_protease;oppA;oppB;pepN;pepO,"",7,7,1.0,1.0,1.0,dtpT:0.0179724527202;endopeptidase:0.0360446032793;extracellular_protease:0.061394696075;oppA:0.0457996533583;oppB:0.0208943663052;pepN:0.0220907403715;pepO:0.00857401414175
FW_TWAS_rep_2,X_pr,peptide_scavenging,0.20446560605007988,false,true,dppA;dppB;dppC;dtpT;endopeptidase;oppA;oppB;pepA;pepD;pepN;pepO;pepQ;pepT,"",13,13,1.0,1.0,1.0,dppA:0.0287964350579;dppB:0.0135198840798;dppC:0.0135198840798;dtpT:0.0232584682262;endopeptidase:0.0233229785925;oppA:0.0296350698201;oppB:0.0135198840798;pepA:0.00867912543793;pepD:0.00388799015473;pepN:0.0142940084757;pepO:0.00554789150349;pepQ:0.0152641451384;pepT:0.0112198414037
FW_TWAS_rep_2,X_li,lipolysis,0.13135158315055398,true,true,acylglycerol_lipase;esterase;fadD;lipase;lysophospholipase;phospholipase,"",6,6,1.0,1.0,1.0,acylglycerol_lipase:0.0281972330015;esterase:0.00654842247343;fadD:0.0409566391092;lipase:0.0156276362409;lysophospholipase:0.0336806141387;phospholipase:0.00634103818683
FW_TWAS_rep_2,X_su,hexose_fermentation,0.14170130527478259,true,true,adhE;gapA;glcP;lctD;pfkA;pfor;pgi;ptsG;pyk,"",9,9,1.0,1.0,1.0,adhE:0.011921560808;gapA:0.0221060785005;glcP:0.0124775679863;lctD:0.0124583953249;pfkA:0.0216344310321;pfor:0.0187163519794;pgi:0.0168105894443;ptsG:0.00316732364986;pyk:0.0224090065494
FW_TWAS_rep_2,X_su,pentose_fermentation,0.11453747871834595,false,true,adhE;gapA;lctD;pfor;pyk;xylA;xylB;xylF,"",8,8,1.0,1.0,1.0,adhE:0.011921560808;gapA:0.0221060785005;lctD:0.0124583953249;pfor:0.0187163519794;pyk:0.0224090065494;xylA:0.00815221559274;xylB:0.00835161127046;xylF:0.0104222586929
FW_TWAS_rep_2,X_su,entner_doudoroff,0.12572192443965685,false,true,adhE;eda;edd;gapA;glcP;lctD;pfor;ptsG;pyk,"",9,9,1.0,1.0,1.0,adhE:0.0100874745299;eda:0.0186791865128;edd:0.0262910280204;gapA:0.0187051433466;glcP:0.00527897107111;lctD:0.0105417191211;pfor:0.0158369132133;ptsG:0.00134002154417;pyk:0.0189614670802
FW_TWAS_rep_2,X_aa,glycine_stickland,0.10076164766564631,false,true,grdA;grdB;oppA;oppB;pfor,"",5,5,1.0,1.0,1.0,grdA:0.00126539564704;grdB:0.00126539564704;oppA:0.0359854419244;oppB:0.0328340041939;pfor:0.0294114102533
FW_TWAS_rep_2,X_aa,proline_stickland,0.10628118296415917,false,true,oppA;oppB;pfor;prdA;prdB,"",5,5,1.0,1.0,1.0,oppA:0.0359854419244;oppB:0.0328340041939;pfor:0.0294114102533;prdA:0.00126539564704;prdB:0.00678493094555
FW_TWAS_rep_2,X_aa,general_amino_acid_catabolism,0.21580479163151678,true,true,dppA;dtpT;gdh;ilvE;oppA;pfor;tdcB,"",7,7,1.0,1.0,1.0,dppA:0.0244769697992;dtpT:0.0197696979922;gdh:0.0471570777797;ilvE:0.0447275181373;oppA:0.0251898093471;pfor:0.0205879871773;tdcB:0.0338957313987
FW_TWAS_rep_2,X_fa,lcfa_beta_oxidation,0.24194364771385185,true,true,etfA;etfB;fadA;fadB;fadD;fadE,"",6,6,1.0,1.0,1.0,etfA:0.0245022777122;etfB:0.0218027669985;fadA:0.0492323266408;fadB:0.0492323266408;fadD:0.049147966931;fadE:0.0480259827906
FW_TWAS_rep_2,X_ac_et,ethanol_acetate_chain_initiation,0.2073646026657668,true,true,ackA;acs;adh;adhE;aldh;bcd;crt;etfA;etfB;hbd;pta;thl,"",12,12,1.0,1.0,1.0,ackA:0.0053287216692;acs:0.0163826556437;adh:0.016540127102;adhE:0.0174849558518;aldh:0.00832349136719;bcd:0.0320173218604;crt:0.0169928575446;etfA:0.0163348518081;etfB:0.014535177999;hbd:0.0163629717114;pta:0.0142399190147;thl:0.0328215510939
FW_TWAS_rep_2,X_ac_lac,lactate_acetate_chain_initiation,0.2062779441538721,true,true,ackA;acs;bcd;crt;etfA;etfB;hbd;lctB;lctC;lctD;pfor;pta;thl,"",13,13,1.0,1.0,1.0,ackA:0.00499567656487;acs:0.0153587396659;bcd:0.0300162392441;crt:0.015930803948;etfA:0.0153139235701;etfB:0.0136267293741;hbd:0.0153402859794;lctB:0.0107558629998;lctC:0.0108217690231;lctD:0.0171302935718;pfor:0.0128674919858;pta:0.0133499240763;thl:0.0307702041505
FW_TWAS_rep_2,X_chain_et,ethanol_reverse_beta_oxidation,0.20538344732709501,true,true,adh;adhE;aldh;bcd;cat;crt;etfA;etfB;hbd;thl,"",10,10,1.0,1.0,1.0,adh:0.0190847620407;adhE:0.0201749490597;aldh:0.0096040285006;bcd:0.0369430636851;cat:0.0265343733371;crt:0.0196071433207;etfA:0.0188479059324;etfB:0.0167713592296;hbd:0.0188803519747;thl:0.0189355102465
FW_TWAS_rep_2,X_chain_lac,lactate_reverse_beta_oxidation,0.20428306298054905,true,true,bcd;cat;crt;etfA;etfB;hbd;lctB;lctC;lctD;pfor;thl,"",11,11,1.0,1.0,1.0,bcd:0.0343042734219;cat:0.0246390609559;crt:0.0182066330835;etfA:0.0175016269373;etfB:0.0155734049989;hbd:0.017531755405;lctB:0.012292414857;lctC:0.0123677360264;lctD:0.0195774783678;pfor:0.0147057051267;thl:0.0175829738003
FW_TWAS_rep_2,X_VFA_deg,syntrophic_butyrate_oxidation,0.23688909510151282,true,true,bcd;crt;etfA;etfB;fdhA;hbd;hydA;rnfB;thl,"",9,9,1.0,1.0,1.0,bcd:0.0400216523255;crt:0.0212410719307;etfA:0.0204185647601;etfB:0.0181689724987;fdhA:0.0390093358079;hbd:0.0204537146392;hydA:0.0416947865699;rnfB:0.0153675271357;thl:0.0205134694337
FW_TWAS_rep_2,X_VFA_deg,syntrophic_propionate_mmc,0.2174672804839837,false,true,fdhA;fumB;hydA;mdh;mmcE;mmcF;mmcG;pfor;sucC;sucD,"",10,10,1.0,1.0,1.0,fdhA:0.0334365735496;fumB:0.00524536624165;hydA:0.0357383884885;mdh:0.0160434090964;mmcE:0.0325447709031;mmcF:0.0313878377401;mmcG:0.0148955144737;pfor:0.0147057051267;sucC:0.0159831521608;sucD:0.0174865627034
FW_TWAS_rep_2,X_Me_ac,acetoclastic_acs,0.05994226046529066,true,false,acs;cdhC;cdhD;cdhE;mcrA;mcrB;mtrA,forbidden(mvhA);forbidden(mvhD);forbidden(mvhG),7,7,1.0,1.0,1.0,acs:0.0546088521455;cdhC:0.00361809422042;cdhD:0.000103106311981;cdhE:0.000103106311981;mcrA:0.000206212623962;mcrB:0.000103106311981;mtrA:0.00119978253941
